platform,totalShows,movies,series,subscribers_mil,revenue_bil,genre,genre_count,market_share_pct,yearly_growth_count,originalContent_pct,userRating,criticalAcclaim_pct,globalReach_pct,contentDiversity_pct,dailyActiveUsers_mil,avgWatchTime_hrs,retention_pct,satisfaction_rating,ageGroup,ageGroup_pct,country,country_rating,country_subscribers,avgBudget_mil,originalBudget_mil,totalSpend_bil,month,monthly_releases,avgWatchTimeByGenre_mins
Netflix,14176,3814,2916,198,24.96,Action,365,37.86,9179,73.46,8.37,62,84,66,100,3.16,70,3.06,45-54,35,India,8.37,45120814,13.26,29.3,8.3,Feb,12,52
Amazon Prime,4848,1944,422,173,26.8,Comedy,1135,6.99,5884,91.27,7.27,60,74,67,53,1.26,70,3.01,45-54,13,India,7.66,73091129,5.91,22.69,12.42,Mar,32,71
Disney+,11880,11635,3819,126,1.13,Horror,190,48.38,12837,84.41,6.79,61,76,84,90,1.77,72,3.35,55+,6,United Kingdom,8.23,36841078,14.6,21.81,18.94,Oct,10,34
Netflix,9821,11351,4866,168,9.27,Animation,458,21.67,1582,71.28,8.1,72,95,78,72,3.31,93,3.65,35-44,23,South Korea,7.45,3620343,7.45,10.25,16.41,Aug,38,38
Disney+,5671,6506,1360,186,16.9,Drama,865,33.72,17352,72.24,7.95,77,93,62,69,1.79,80,4.92,18-24,20,Japan,8.47,34996754,15.93,28.95,15.32,Apr,26,26
Amazon Prime,5488,9687,2030,41,7.22,Romance,701,55.05,4815,72.16,8.12,71,95,76,58,3.56,71,3.35,35-44,11,Germany,7.24,63453182,10.76,26.68,11.47,Nov,21,25
Amazon Prime,15973,11570,792,74,2.11,Romance,875,6.68,5546,66.02,7.87,55,92,90,72,1.19,82,4.34,45-54,19,France,8.97,61385148,9.62,19.51,5.26,May,55,53
Netflix,16397,8988,2452,64,20.81,Horror,209,8.74,4731,94.24,7.61,56,72,82,96,3.08,78,4.13,45-54,6,France,8.97,67440430,10.25,29.67,11.48,Jun,24,34
Netflix,6437,7355,2981,3,23.92,Documentary,878,48.84,1569,72.75,9.26,65,98,81,54,2.4,75,3.81,18-24,29,Australia,8.24,70507309,19.59,29.31,14.61,Jan,30,74
Netflix,5077,1458,4091,17,29.38,Comedy,756,38.71,11001,79.26,6.41,81,75,78,86,3.72,99,3.7,25-34,22,United States,8.46,44434591,15.96,26.24,6.28,Aug,6,41
Amazon Prime,15005,7187,3793,58,32.58,Drama,225,59.03,2725,86.12,6.52,62,93,94,75,3.52,70,3.04,18-24,19,Germany,8.8,52367372,7.02,28.39,12.62,Jul,10,59
Disney+,2670,5354,4729,177,7.46,Animation,609,32.38,799,87.98,8.2,63,74,61,50,2.44,89,4.58,55+,24,Japan,7.02,66392035,11.94,26.43,9.88,Nov,40,26
Netflix,13117,11669,353,172,5.29,Documentary,1613,30.5,8882,85.23,6.93,60,78,94,82,2.83,96,4.75,45-54,26,Brazil,8.09,38570269,7.02,27.03,18.42,Feb,52,28
Disney+,5834,6519,451,34,1.52,Comedy,998,11.99,6827,84.77,6.88,73,73,62,90,3.32,97,3.77,35-44,11,France,8.25,56075411,11.76,27.33,5.57,Apr,11,60
Disney+,7660,4737,929,99,13.82,Documentary,153,42.52,17070,93.81,9.15,78,99,80,88,3.85,86,3.6,55+,15,Canada,7.43,30215472,14.4,12.53,17.0,May,37,29
Amazon Prime,11599,3692,1474,205,31.94,Romance,1553,35.35,11092,77.5,8.83,63,93,90,71,2.54,87,3.06,45-54,14,South Korea,7.63,70167748,6.41,28.28,19.55,Apr,12,48
Disney+,15755,2799,2225,21,2.85,Documentary,282,33.46,9457,84.3,7.88,86,95,97,53,4.1,77,4.75,25-34,32,South Korea,8.95,16617489,5.34,19.39,5.2,Aug,41,68
Netflix,12312,10864,3245,198,29.99,Drama,812,24.09,4736,87.43,6.19,58,85,73,55,4.12,71,4.85,45-54,29,Japan,8.21,49922355,13.19,15.53,20.0,Jul,36,39
Amazon Prime,1716,9247,2109,86,6.11,Documentary,593,40.13,5177,73.35,9.2,86,82,60,89,1.39,70,4.02,45-54,30,South Korea,7.72,65070507,8.71,24.09,15.55,Mar,17,25
Netflix,6247,8805,3516,58,18.47,Action,623,31.28,7175,87.83,6.68,72,78,67,79,3.44,72,3.93,35-44,12,France,8.98,16404093,8.06,26.69,9.44,Oct,30,25
Disney+,12843,14979,2201,190,9.31,Animation,798,5.41,4117,81.2,7.29,79,94,80,99,3.22,75,4.58,35-44,27,France,8.34,14312664,16.49,15.64,16.72,Mar,10,57
Disney+,14653,5501,2755,5,2.98,Documentary,1908,11.22,16660,70.18,8.25,80,94,92,51,2.96,82,4.66,25-34,5,South Korea,7.76,22723287,16.4,17.15,11.54,Dec,31,65
Amazon Prime,15919,3756,3589,93,15.19,Drama,125,50.8,13033,94.8,9.14,61,96,76,84,1.61,72,4.01,18-24,8,Canada,8.47,23381409,11.86,29.6,5.49,Feb,7,33
Amazon Prime,16736,6713,4672,214,29.61,Romance,559,43.38,17361,81.42,6.64,88,71,64,71,2.27,75,3.5,18-24,10,United Kingdom,8.03,8916264,16.83,19.87,5.7,Dec,22,37
Amazon Prime,14414,12100,395,60,8.39,Action,1757,55.23,4058,66.95,9.18,65,80,99,73,2.52,82,4.86,18-24,7,Australia,8.75,25083958,10.38,18.63,9.08,Oct,5,65
Disney+,8293,8798,1562,94,15.62,Horror,1950,45.14,7743,76.28,8.07,56,98,93,52,1.61,83,3.49,25-34,29,France,7.82,9965466,11.61,18.0,14.32,Jan,25,71
Disney+,1756,935,2391,109,23.46,Action,366,40.56,9629,93.19,7.21,76,74,83,77,2.71,94,3.62,18-24,15,Japan,8.85,71162080,12.57,21.3,16.61,Apr,19,28
Amazon Prime,4259,3384,2333,157,18.87,Drama,1200,23.78,1553,82.54,8.49,85,70,76,55,2.65,74,3.05,18-24,22,Japan,8.03,71993798,12.35,26.36,14.78,Aug,48,71
Amazon Prime,2342,9990,2565,170,15.3,Drama,500,19.36,11902,71.21,8.38,71,100,61,64,2.61,84,4.0,25-34,27,Canada,8.04,62334763,13.88,26.93,18.82,Jul,19,52
Netflix,7316,5152,212,75,13.99,Animation,1628,8.3,8482,91.48,8.78,84,90,93,65,1.01,97,4.88,18-24,26,United Kingdom,7.93,32699284,19.46,11.61,16.49,Mar,43,56
Disney+,14794,14878,1938,176,9.14,Documentary,1386,34.86,9600,77.03,6.44,83,73,63,94,4.08,99,3.61,18-24,23,France,7.18,30922435,19.78,24.96,11.12,Apr,26,63
Netflix,2921,4635,3433,42,9.71,Animation,536,36.46,14288,93.82,7.9,54,87,88,77,3.58,88,3.36,18-24,17,Canada,8.87,71038411,16.27,10.28,19.25,Sep,6,46
Disney+,16546,6972,1009,110,9.13,Comedy,195,52.23,6343,65.24,6.36,59,78,71,67,1.24,79,4.52,55+,27,Australia,7.84,36348134,12.14,28.5,12.59,Jul,55,38
Disney+,1657,2442,4904,70,4.21,Documentary,1263,22.97,10004,88.7,7.8,59,76,90,94,4.16,97,4.68,35-44,12,Australia,7.35,13280490,15.28,27.76,15.39,Sep,7,68
Amazon Prime,16165,13651,1212,66,1.45,Documentary,1835,57.34,16040,76.51,8.37,60,94,80,66,2.61,88,4.27,45-54,21,India,7.28,62463967,11.34,17.86,6.84,Aug,28,29
Amazon Prime,10025,10699,799,100,30.33,Action,944,50.17,10272,73.77,7.08,60,80,66,66,3.8,99,3.2,25-34,5,South Korea,8.0,46427388,16.94,13.85,13.02,Apr,44,30
Disney+,6320,3617,3229,132,18.52,Action,1884,13.74,6197,94.57,7.32,70,80,73,72,3.05,74,3.84,18-24,28,India,8.21,15641214,12.78,11.24,6.36,Mar,12,58
Netflix,1579,12166,1533,94,20.37,Action,1288,12.28,1267,74.58,8.55,75,73,98,59,3.47,93,4.28,35-44,8,South Korea,7.55,66578272,5.82,19.1,18.39,Aug,30,53
Disney+,14579,6559,712,12,29.58,Documentary,1211,49.58,8987,84.65,6.24,51,73,93,70,2.11,92,3.47,25-34,29,United States,7.8,20596954,9.71,29.43,9.15,Mar,9,42
Disney+,3297,3472,3665,67,0.87,Horror,1534,15.03,13382,78.0,8.58,59,80,76,58,4.32,87,4.19,55+,11,Germany,8.92,16506243,13.11,23.89,9.01,Oct,39,52
Netflix,1678,14055,2987,47,3.39,Comedy,282,31.2,14519,72.87,9.39,59,76,83,75,3.68,82,3.1,35-44,30,Brazil,8.83,34035282,13.61,15.0,18.82,Apr,49,38
Amazon Prime,14554,8205,3466,118,7.48,Action,1041,25.53,3038,80.94,8.17,70,87,66,62,4.19,82,4.89,45-54,18,Brazil,8.83,32512593,17.0,29.49,13.77,Aug,6,28
Amazon Prime,16516,6489,4922,79,1.32,Romance,401,18.8,5084,92.2,8.62,53,75,94,51,1.42,87,3.43,18-24,17,United States,7.82,7121364,13.78,16.89,17.65,Jan,20,72
Amazon Prime,1096,1004,2306,104,33.77,Horror,716,13.22,4738,84.28,8.07,61,96,91,68,2.0,76,4.08,25-34,11,Canada,7.87,66644694,11.94,13.42,19.05,Jul,42,57
Disney+,5186,3663,2923,154,1.14,Comedy,724,51.95,15726,79.39,7.94,71,97,70,60,1.2,93,4.42,45-54,24,Canada,7.61,27941739,12.22,27.49,7.38,May,13,37
Disney+,6059,5260,3845,160,1.04,Action,1913,40.28,15015,77.93,9.48,53,90,95,81,4.08,94,4.42,35-44,11,South Korea,7.03,39426251,16.53,28.5,14.78,Sep,37,33
Netflix,1408,6023,2689,99,23.92,Drama,1140,32.35,12772,69.02,7.32,69,97,92,69,3.7,92,4.28,45-54,32,France,8.37,60948449,14.4,25.37,5.56,Mar,30,28
Amazon Prime,6581,5992,4446,79,21.17,Animation,1834,47.39,14473,78.11,6.35,57,83,77,98,3.86,92,4.59,55+,14,Canada,7.65,3160868,9.31,10.25,14.33,Apr,32,59
Netflix,14335,7005,3270,225,25.11,Action,370,29.73,2247,81.08,6.91,52,80,62,73,2.63,83,3.06,18-24,28,Germany,8.3,37488141,15.3,17.87,11.23,Aug,25,49
Netflix,5290,3669,4146,109,16.79,Comedy,758,50.85,2733,94.56,6.07,73,70,65,77,2.98,85,4.99,25-34,9,United States,7.11,48252921,12.03,16.39,19.2,Dec,17,35
Disney+,7831,13336,2865,210,2.52,Romance,803,46.24,4850,92.45,7.14,80,100,71,84,3.77,96,3.53,45-54,29,France,8.36,30477282,19.82,19.72,6.75,Jun,39,55
Disney+,9468,4013,390,82,3.15,Drama,1084,24.19,10326,86.43,8.35,86,92,98,79,3.16,79,4.13,35-44,21,Japan,7.23,74580065,9.49,19.03,15.42,May,11,74
Disney+,1254,10873,4453,25,14.32,Horror,290,44.8,10965,93.47,8.45,70,71,85,96,3.74,95,4.34,55+,12,Japan,8.65,43400176,8.07,19.09,18.69,Sep,19,55
Netflix,10816,2543,1000,41,20.57,Drama,285,58.15,1925,84.49,7.03,81,77,78,100,3.78,85,3.33,35-44,18,Canada,7.26,40631809,8.57,20.97,12.38,Nov,11,73
Disney+,11930,13147,2857,14,21.96,Documentary,201,41.32,9995,81.58,6.29,86,70,83,95,1.0,91,4.19,35-44,29,Japan,8.64,64833694,14.55,19.8,15.76,Oct,37,67
Disney+,2660,8183,4591,43,25.37,Documentary,593,28.69,10214,66.11,6.94,50,88,99,56,1.37,84,3.55,55+,11,Canada,8.46,29807398,9.16,27.93,15.8,Nov,53,69
Disney+,10543,11405,2641,8,30.51,Drama,518,10.95,1452,85.37,6.02,50,81,95,85,1.33,96,4.9,18-24,24,Australia,7.35,5175973,18.33,17.05,9.66,Jul,28,44
Disney+,11943,13974,1200,208,9.03,Horror,1037,27.21,13725,62.45,7.26,84,90,72,75,2.59,96,3.55,55+,10,United States,9.0,28959043,14.36,11.88,10.21,Aug,9,31
Disney+,14575,14228,4334,172,13.16,Horror,1198,16.73,2687,73.84,6.1,73,99,80,60,2.3,74,3.47,18-24,34,France,8.84,7390888,10.92,22.73,8.29,Jan,21,67
Disney+,14439,13242,1846,177,26.18,Documentary,1629,22.74,10661,64.29,7.99,64,84,95,61,3.91,89,4.68,18-24,30,Australia,7.4,7895782,19.05,16.24,7.91,Aug,8,49
Amazon Prime,7747,9310,1835,11,23.86,Documentary,714,55.52,17966,63.21,7.37,86,96,87,99,3.41,96,4.71,25-34,34,Japan,8.08,22436999,10.16,28.91,8.41,Feb,11,59
Amazon Prime,13620,12455,878,3,16.93,Action,1610,12.69,14899,73.36,8.02,70,74,70,87,1.88,79,4.41,25-34,33,France,8.18,23412973,7.64,28.87,5.78,Jun,39,47
Amazon Prime,11070,6853,1773,89,14.26,Animation,1722,46.05,11578,62.52,6.38,59,87,89,66,1.63,94,4.78,18-24,23,Australia,8.5,24717221,9.75,17.89,8.57,Mar,13,46
Disney+,13604,1703,544,9,12.25,Action,1859,24.52,4645,92.37,8.03,79,79,73,86,2.69,74,4.78,55+,28,Australia,8.95,66938500,10.83,21.87,8.87,Feb,22,64
Netflix,6868,3191,502,220,33.08,Documentary,174,55.22,6700,94.35,8.5,59,82,90,98,2.65,99,4.26,45-54,32,Japan,7.86,59017276,10.34,27.68,13.8,Sep,6,39
Disney+,4166,11055,528,200,32.49,Comedy,1701,22.59,2089,74.93,8.51,88,73,74,95,2.3,70,3.81,18-24,15,Japan,7.63,10775954,17.16,16.02,6.5,Oct,25,48
Netflix,16212,7104,3799,82,19.76,Comedy,1058,53.68,4309,92.65,9.26,70,83,80,83,2.16,81,3.29,25-34,9,Brazil,7.58,55653300,14.08,24.47,18.56,Aug,53,57
Amazon Prime,4571,2381,1520,54,13.38,Romance,349,9.01,10523,61.2,6.69,66,89,100,83,4.37,91,3.64,45-54,16,South Korea,7.96,53055929,19.68,29.67,5.9,Dec,36,62
Amazon Prime,7791,8457,4384,204,31.26,Animation,1263,42.07,11897,60.24,7.67,74,93,89,98,1.59,74,3.89,35-44,12,Canada,8.18,13814322,5.98,22.71,5.35,Jan,21,59
Netflix,9513,2304,2227,103,11.01,Romance,634,11.55,8050,93.94,8.57,83,88,62,53,1.55,86,4.33,18-24,24,Brazil,8.75,40892545,18.06,17.64,9.44,Apr,51,48
Netflix,5633,12021,4281,27,7.29,Documentary,472,7.34,7673,94.56,6.51,75,82,72,76,1.35,97,4.85,35-44,14,Japan,7.41,4073602,14.59,17.61,12.43,Sep,49,55
Disney+,16339,2695,2590,229,9.38,Action,1461,53.98,2418,63.14,9.04,76,74,97,68,1.25,76,4.45,25-34,10,France,7.94,59068818,7.22,17.09,15.61,May,36,28
Disney+,9960,4361,1546,85,5.22,Comedy,615,46.75,17120,91.69,6.91,86,97,95,84,4.39,82,4.23,25-34,26,Canada,8.07,72115313,18.85,15.18,12.25,Jul,44,60
Netflix,9034,11794,1824,213,29.16,Action,1795,23.73,5156,87.59,6.54,51,86,97,52,2.95,70,3.44,25-34,7,Brazil,8.19,3493779,17.89,18.33,14.76,Feb,5,70
Disney+,4841,10110,1145,39,21.12,Drama,1356,40.71,856,70.07,6.53,66,81,73,57,3.25,92,3.31,18-24,13,India,8.95,36071608,18.55,26.82,12.34,May,51,40
Netflix,5480,2792,325,128,33.35,Romance,246,48.27,5764,79.55,6.54,58,99,60,58,1.44,91,3.35,18-24,27,United Kingdom,8.68,27251272,16.69,29.94,18.32,Dec,26,52
Netflix,6060,14312,611,116,33.73,Drama,1456,13.86,2970,67.98,6.39,89,83,84,93,4.1,92,4.83,55+,32,Germany,8.98,26025953,7.74,25.84,15.61,Nov,55,55
Netflix,7279,10905,4034,75,32.67,Romance,535,41.92,900,61.36,8.26,50,79,95,52,3.78,89,4.31,25-34,5,Australia,8.98,17373328,5.79,13.13,8.81,Nov,32,39
Netflix,15926,11755,1354,47,17.98,Horror,565,49.74,12257,82.62,9.32,77,87,91,67,1.21,79,3.17,18-24,17,South Korea,8.28,74830759,6.62,10.91,7.54,May,5,49
Disney+,15610,6978,2457,38,22.86,Animation,437,26.2,5541,66.12,9.35,78,71,81,75,3.9,90,3.03,45-54,24,India,7.85,66755510,19.47,13.09,11.05,Apr,45,48
Netflix,16553,5954,2063,227,24.49,Comedy,747,20.83,4812,94.39,7.93,81,88,97,55,1.15,76,4.0,25-34,30,France,8.21,60273790,17.23,12.92,8.68,Jan,34,52
Disney+,10505,1896,1249,45,18.12,Horror,405,41.54,17434,82.31,8.94,75,91,97,81,1.44,90,3.96,25-34,13,Brazil,7.09,60568485,19.88,20.91,19.78,Oct,22,59
Amazon Prime,8480,7457,4909,198,16.78,Drama,469,49.84,12237,68.28,7.08,81,83,60,97,1.6,74,4.19,35-44,34,United Kingdom,7.5,4251127,5.61,28.36,10.2,Apr,13,40
Disney+,14225,7684,4567,207,2.99,Romance,1566,11.62,14677,89.85,8.24,73,81,71,53,3.64,76,3.57,55+,10,France,7.93,19415345,7.93,15.28,16.99,Aug,15,48
Disney+,10335,2174,602,147,32.78,Action,889,26.66,17380,64.94,6.12,81,95,61,76,1.68,73,4.35,18-24,29,Canada,7.13,8835745,15.93,15.33,16.58,Sep,9,59
Netflix,13746,4956,1368,75,4.66,Animation,825,37.42,5784,94.78,8.89,78,95,94,52,1.85,86,4.8,45-54,7,Canada,8.66,55118948,15.05,10.24,17.48,Dec,28,75
Amazon Prime,11179,13541,1814,94,10.41,Drama,991,28.87,15518,63.72,6.01,65,82,60,71,1.57,97,3.21,45-54,6,Brazil,7.21,5999207,6.72,16.38,17.88,Oct,10,25
Amazon Prime,6950,10638,791,199,31.68,Comedy,1655,31.22,11594,61.86,9.46,55,80,60,77,1.59,87,3.81,45-54,20,South Korea,8.71,42059498,13.88,28.54,10.09,Oct,8,59
Amazon Prime,13510,7191,1659,211,2.88,Documentary,1937,53.04,1845,70.65,6.98,89,84,69,94,1.44,96,3.62,25-34,31,Japan,7.29,31201267,14.97,17.36,15.81,Jun,16,28
Netflix,2894,4774,371,211,20.92,Drama,647,24.52,14689,90.25,8.31,56,84,84,62,1.14,93,4.04,25-34,7,India,8.87,57392638,17.76,18.78,15.59,Oct,13,60
Netflix,3081,1122,1256,227,14.71,Drama,1167,32.06,10633,62.37,6.34,60,92,79,65,3.69,77,3.43,25-34,32,South Korea,8.12,11890121,8.7,10.21,13.45,Jun,35,50
Amazon Prime,5595,14489,3089,37,14.37,Comedy,1047,47.35,6332,63.11,6.53,72,72,67,95,4.1,98,3.84,25-34,10,United Kingdom,8.08,38519055,9.64,10.82,6.7,Oct,52,54
Netflix,9404,12388,2561,8,19.97,Romance,419,16.11,10687,88.57,9.03,76,93,94,54,2.13,98,3.36,18-24,23,United Kingdom,8.86,10003619,8.52,11.14,6.3,Jul,18,39
Disney+,1221,5764,1413,118,34.92,Animation,1287,51.47,13571,71.9,8.23,84,86,81,61,2.87,81,3.84,45-54,33,India,8.22,9302780,18.86,28.01,17.85,Oct,13,68
Netflix,8667,7308,2931,130,18.45,Romance,1559,50.97,8790,60.74,8.95,81,77,92,50,2.95,85,4.8,18-24,18,Australia,7.3,63568083,11.59,13.3,17.21,Sep,16,29
Netflix,15383,1939,2327,152,12.42,Action,1869,25.86,10255,63.03,6.83,79,86,80,59,2.85,78,4.93,25-34,22,South Korea,8.53,34213598,9.8,22.1,15.17,Feb,16,63
Netflix,15541,1549,3196,63,2.22,Animation,478,51.63,9418,62.05,8.82,78,71,83,100,3.36,94,3.28,45-54,33,Brazil,7.79,15121145,13.57,23.37,19.05,Oct,38,54
Amazon Prime,10092,12227,1013,207,5.4,Horror,1617,5.86,809,79.98,6.14,55,77,60,60,3.9,72,3.42,18-24,12,South Korea,7.75,24345990,10.84,17.22,14.89,Aug,16,57
Disney+,12375,4118,3884,53,26.97,Comedy,965,7.05,11211,89.08,6.56,59,93,97,60,2.49,76,4.72,55+,17,Germany,7.14,13352701,9.1,29.77,5.92,Jun,9,70
Amazon Prime,5381,13905,3337,197,31.88,Documentary,1732,8.81,10719,62.19,6.01,79,85,71,100,1.45,85,4.94,25-34,9,Canada,7.85,49366934,9.3,13.21,15.8,Feb,55,52
Amazon Prime,16417,2297,1500,14,27.72,Action,1844,9.11,1392,76.22,8.84,52,74,79,92,3.44,81,3.54,18-24,21,Germany,8.09,25673447,14.38,20.12,7.25,May,55,69
Amazon Prime,9265,1887,2124,173,13.81,Documentary,731,35.48,14204,68.73,6.19,66,79,71,87,3.38,72,3.17,25-34,19,Brazil,7.86,56016499,15.12,27.53,8.7,Feb,9,60
Amazon Prime,6214,1409,985,176,29.86,Horror,430,26.24,11052,94.91,8.13,90,86,97,59,1.73,95,4.57,18-24,34,United States,8.4,8836897,6.92,28.71,8.25,Aug,47,66
Amazon Prime,9427,3989,584,12,23.07,Comedy,392,35.43,2518,67.79,7.4,85,72,74,88,1.45,96,3.31,25-34,15,Australia,8.45,4086816,11.05,26.76,10.57,Sep,41,39
Amazon Prime,5195,14465,3196,34,9.41,Comedy,1410,11.5,16578,62.84,6.54,58,71,61,97,2.07,78,4.43,18-24,23,Germany,8.04,62619093,18.8,24.47,18.43,Aug,11,41
Disney+,4327,5565,1982,138,33.01,Action,949,14.93,781,62.03,6.69,87,90,94,50,3.31,93,3.64,55+,29,Australia,7.06,32558162,18.43,22.65,15.54,Nov,32,54
Amazon Prime,14918,4540,3205,33,15.67,Comedy,268,9.53,15847,88.77,6.35,63,91,95,85,1.23,81,3.17,25-34,34,South Korea,8.61,51563392,13.5,13.79,12.86,Aug,47,66
Netflix,2300,5274,590,116,8.93,Drama,1546,39.51,16878,76.1,6.46,90,82,84,58,2.15,72,3.96,35-44,21,Canada,8.12,31964835,9.25,27.09,13.94,Jan,5,63
Amazon Prime,8126,14384,3123,188,16.26,Animation,508,20.03,14230,74.57,7.1,89,88,87,56,2.4,100,4.29,45-54,29,Australia,8.34,55395581,9.68,12.26,11.93,Nov,51,72
Amazon Prime,11344,6404,3570,92,12.25,Documentary,1710,37.47,13216,75.57,7.97,77,70,78,86,3.4,83,4.56,55+,14,Australia,8.21,18923334,15.92,28.85,15.9,Oct,13,69
Disney+,2345,6615,4624,149,6.22,Comedy,1976,35.15,1818,93.93,6.06,52,81,73,50,1.63,83,4.68,18-24,9,France,8.97,28532832,15.57,16.98,14.57,Nov,36,49
Disney+,1670,10198,3535,126,33.9,Animation,1833,19.14,10648,61.16,7.78,64,88,74,55,2.68,98,4.74,25-34,27,Australia,7.15,10026557,10.74,28.52,6.62,Jun,49,66
Amazon Prime,6979,2971,855,170,7.39,Drama,993,25.18,11627,71.72,7.1,66,88,84,70,2.34,79,3.66,55+,26,Canada,7.42,21242973,6.62,15.88,5.72,May,43,43
Disney+,14852,12699,3453,178,13.14,Comedy,525,54.72,17545,77.35,6.64,64,93,71,99,4.26,82,4.06,35-44,17,United Kingdom,7.11,29592799,10.01,18.24,5.37,May,15,60
Amazon Prime,2668,3419,1841,171,8.78,Horror,1322,12.37,9415,73.9,6.63,84,96,64,56,4.5,85,4.24,55+,27,United States,7.27,26836359,19.69,11.54,11.72,May,33,75
Disney+,13268,4885,3084,198,12.81,Documentary,939,27.11,1605,76.43,8.92,64,78,79,85,2.86,77,4.25,18-24,22,Germany,7.32,35187774,15.64,20.58,12.38,Feb,49,66
Amazon Prime,12032,13686,4537,52,33.74,Horror,1364,21.79,5416,91.22,7.73,55,82,74,88,2.4,97,3.28,35-44,32,Germany,7.98,62768791,17.8,25.42,5.65,Apr,44,74
Disney+,1316,7992,4213,54,1.04,Romance,940,33.12,9369,60.91,6.16,82,77,83,97,3.68,79,4.06,25-34,17,France,7.94,38018954,12.08,25.77,15.73,Aug,52,63
Disney+,12599,5191,1596,71,17.46,Romance,1243,38.55,7732,67.5,6.93,68,95,73,92,1.05,77,3.88,18-24,28,France,8.33,64964446,13.82,12.99,17.45,Dec,6,52
Disney+,1444,8773,4164,219,26.8,Documentary,1574,6.2,4038,71.0,6.5,81,87,72,82,1.97,91,4.56,45-54,31,South Korea,7.86,13229140,13.8,14.63,15.27,Feb,54,69
Netflix,12648,2639,2194,39,12.75,Drama,1756,47.03,4280,65.5,7.25,84,100,96,72,3.95,74,4.7,35-44,33,Australia,8.7,36297351,13.33,11.78,16.68,Oct,16,58
Amazon Prime,6103,14255,1137,116,15.6,Comedy,390,36.86,8932,63.74,6.92,68,76,63,64,4.04,74,3.33,45-54,16,United Kingdom,8.38,30262021,13.04,18.05,10.26,Jan,20,60
Disney+,4327,12472,4189,191,15.78,Romance,741,31.77,15542,87.01,8.78,58,93,99,72,3.9,71,4.94,55+,25,United States,8.43,22404580,14.94,14.98,18.74,Oct,21,65
Netflix,13992,4059,322,130,31.97,Action,774,19.74,7816,91.93,6.34,83,82,64,98,2.83,73,4.46,35-44,16,Japan,8.62,62033419,14.34,23.48,12.61,Nov,20,29
Disney+,8356,5833,4915,121,29.68,Horror,601,23.9,1571,63.43,7.54,79,78,100,54,3.01,86,4.52,18-24,18,India,7.53,53345452,16.34,18.06,8.39,Oct,16,66
Amazon Prime,1296,14566,2922,225,21.35,Documentary,1329,39.79,7436,69.38,8.13,65,81,60,51,4.45,74,4.54,35-44,23,Germany,8.05,23773563,7.34,26.34,16.66,Nov,49,64
